# Obs_ID	RA[deg]			Dec[deg]		filt	exp_time[s]
2290i7303	105.73950697	-16.5668878		i		20
2290r7303	105.73950697	-16.5668878		r		20
2290g7303	105.73950697	-16.5668878		g		20
2320g7303	107.16172785	-19.23154822	g		20
2320r7303	107.16172785	-19.23154822	r		20
2320i7303	107.16172785	-19.23154822	i		20
2350i7303	108.61775582	-21.89117042	i		20
2350r7303	108.61775582	-21.89117042	r		20
2350g7303	108.61775582	-21.89117042	g		20
2380g7303	110.11577334	-24.54387809	g		20
2380r7303	110.11577334	-24.54387809	r		20
2380i7303	110.11577334	-24.54387809	i		20
2410i7303	111.66484927	-27.18760786	i		20
2410r7303	111.66484927	-27.18760786	r		20
2410g7303	111.66484927	-27.18760786	g		20
2440g7303	113.27514763	-29.82005679	g		20
2440r7303	113.27514763	-29.82005679	r		20
2440i7303	113.27514763	-29.82005679	i		20
2470i7303	114.95817616	-32.43861878	i		20
2470r7303	114.95817616	-32.43861878	r		20
2470g7303	114.95817616	-32.43861878	g		20
2500g7303	116.7270839		-35.04030633	g		20
2500r7303	116.7270839		-35.04030633	r		20
2500i7303	116.7270839		-35.04030633	i		20
2501i7303	126.70692823	-29.64794821	i		20
2501r7303	126.70692823	-29.64794821	r		20
2501g7303	126.70692823	-29.64794821	g		20
2471g7303	124.77686845	-27.18805908	g		20
2471r7303	124.77686845	-27.18805908	r		20
2471i7303	124.77686845	-27.18805908	i		20
2441i7303	122.94311091	-24.69542203	i		20
2441r7303	122.94311091	-24.69542203	r		20
2441g7303	122.94311091	-24.69542203	g		20
2411g7303	121.19407331	-22.17410723	g		20
2411r7303	121.19407331	-22.17410723	r		20
2411i7303	121.19407331	-22.17410723	i		20
2381i7303	119.51927126	-19.62768753	i		20
2381r7303	119.51927126	-19.62768753	r		20
2381g7303	119.51927126	-19.62768753	g		20
2351g7303	117.90918254	-17.05931638	g		20
2351r7303	117.90918254	-17.05931638	r		20
2351i7303	117.90918254	-17.05931638	i		20
2321i7303	116.35511714	-14.47179442	i		20
2321r7303	116.35511714	-14.47179442	r		20
2321g7303	116.35511714	-14.47179442	g		20
2291g7303	114.84909508	-11.8676266		g		20
2291r7303	114.84909508	-11.8676266		r		20
2291i7303	114.84909508	-11.8676266		i		20
2261i7303	113.38373271	-9.2490713		i		20
2261r7303	113.38373271	-9.2490713		r		20
2261g7303	113.38373271	-9.2490713		g		20
2231g7303	111.95213711	-6.61818287		g		20
2231r7303	111.95213711	-6.61818287		r		20
2231i7303	111.95213711	-6.61818287		i		20
2201i7303	110.5478075		-3.97684893		i		20
2201r7303	110.5478075		-3.97684893		r		20
2201g7303	110.5478075		-3.97684893		g		20
2201g8303	110.5478075		-3.97684893		g		20
