# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2111r9316 106.43736755   3.99278039     r    20
2111i9316 106.43736755   3.99278039     i    20
2081i9316 105.08176387   6.65926302     i    20
2081r9316 105.08176387   6.65926302     r    20
2081g9316 105.08176387   6.65926302     g    20
2051g9316 103.72366407   9.32819575     g    20
2051r9316 103.72366407   9.32819575     r    20
2051i9316 103.72366407   9.32819575     i    20
2021i9316 102.35705234   11.99808323    i    20
2021r9316 102.35705234   11.99808323    r    20
2021g9316 102.35705234   11.99808323    g    20
2021g0316 102.35705234   11.99808323    g    20
2021r0316 102.35705234   11.99808323    r    20
2021i0316 102.35705234   11.99808323    i    20
2051i0316 103.72366407   9.32819575     i    20
2051r0316 103.72366407   9.32819575     r    20
2051g0316 103.72366407   9.32819575     g    20
2081g0316 105.08176387   6.65926302     g    20
2081r0316 105.08176387   6.65926302     r    20
2081i0316 105.08176387   6.65926302     i    20
2111i0316 106.43736755   3.99278039     i    20
2111r0316 106.43736755   3.99278039     r    20
2111g0316 106.43736755   3.99278039     g    20
2141g0316 107.79635122   1.3302442      g    20
2141r0316 107.79635122   1.3302442      r    20
2141i0316 107.79635122   1.3302442      i    20
2171i0316 109.16454244   -1.32682329    i    20
2171r0316 109.16454244   -1.32682329    r    20
