# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2290i7313 105.8438380104 -16.5668878  i    20
2290r7313 105.8438380104 -16.5668878  r    20
2290g7313 105.8438380104 -16.5668878  g    20
2320g7313 107.2676381593 -19.23154822 g    20
2320r7313 107.2676381593 -19.23154822 r    20
2320i7313 107.2676381593 -19.23154822 i    20
2321i7313 116.4583940353 -14.47179442 i    20
2321r7313 116.4583940353 -14.47179442 r    20
2321g7313 116.4583940353 -14.47179442 g    20
2291g7313 114.9512792316 -11.8676266  g    20
2291r7313 114.9512792316 -11.8676266  r    20
2291i7313 114.9512792316 -11.8676266  i    20
2261i7313 113.4850499381 -9.2490713   i    20
2261r7313 113.4850499381 -9.2490713   r    20
2261g7313 113.4850499381 -9.2490713   g    20
2231g7313 112.0528079563 -6.61818287  g    20
2231r7313 112.0528079563 -6.61818287  r    20
2231i7313 112.0528079563 -6.61818287  i    20
2201i7313 110.6480488657 -3.97684893  i    20
2201r7313 110.6480488657 -3.97684893  r    20
2201g7313 110.6480488657 -3.97684893  g    20
2171g7313 109.2645692593 -1.32682329  g    20
2171r7313 109.2645692593 -1.32682329  r    20
2171i7313 109.2645692593 -1.32682329  i    20
2141i7313 107.8963781778 1.3302442    i    20
2141r7313 107.8963781778 1.3302442    r    20
2141g7313 107.8963781778 1.3302442    g    20
2111g7313 106.5376108573 3.99278039   g    20
2111r7313 106.5376108573 3.99278039   r    20
2111i7313 106.5376108573 3.99278039   i    20
2081i7313 105.1824431176 6.65926302   i    20
2081r7313 105.1824431176 6.65926302   r    20
2081g7313 105.1824431176 6.65926302   g    20
2051g7313 103.8250041846 9.32819575   g    20
2051r7313 103.8250041846 9.32819575   r    20
2051i7313 103.8250041846 9.32819575   i    20
2021i7313 102.4592856726 11.99808323  i    20
2021r7313 102.4592856726 11.99808323  r    20
2021g7313 102.4592856726 11.99808323  g    20
2021g8313 102.4592856726 11.99808323  g    20
2021r8313 102.4592856726 11.99808323  r    20
2021i8313 102.4592856726 11.99808323  i    20
2051i8313 103.8250041846 9.32819575   i    20
2051r8313 103.8250041846 9.32819575   r    20
2051g8313 103.8250041846 9.32819575   g    20
2081g8313 105.1824431176 6.65926302   g    20
2081r8313 105.1824431176 6.65926302   r    20
2081i8313 105.1824431176 6.65926302   i    20
2111i8313 106.5376108573 3.99278039   i    20
2111r8313 106.5376108573 3.99278039   r    20
2111g8313 106.5376108573 3.99278039   g    20
2141g8313 107.8963781778 1.3302442	  g    20
2141r8313 107.8963781778 1.3302442	  r    20
2141i8313 107.8963781778 1.3302442	  i    20
2171i8313 109.2645692593 -1.32682329  i    20
2171r8313 109.2645692593 -1.32682329  r    20
2171g8313 109.2645692593 -1.32682329  g    20
2201g8313 110.6480488657 -3.97684893  g    20
2201r8313 110.6480488657 -3.97684893  r    20
2201i8313 110.6480488657 -3.97684893  i    20
2231i8313 112.0528079563 -6.61818287  i    20
2231r8313 112.0528079563 -6.61818287  r    20
2231g8313 112.0528079563 -6.61818287  g    20
2261g8313 113.4850499381 -9.2490713   g    20
2261r8313 113.4850499381 -9.2490713   r    20
2261i8313 113.4850499381 -9.2490713   i    20
2291i8313 114.9512792316 -11.8676266  i    20
2291r8313 114.9512792316 -11.8676266  r    20
2291g8313 114.9512792316 -11.8676266  g    20
2321g8313 116.4583940353 -14.47179442 g    20
2321r8313 116.4583940353 -14.47179442 r    20
2321i8313 116.4583940353 -14.47179442 i    20
2320i8313 107.2676381593 -19.23154822 i    20
2320r8313 107.2676381593 -19.23154822 r    20
2320g8313 107.2676381593 -19.23154822 g    20
2290g8313 105.8438380104 -16.5668878  g    20
2290r8313 105.8438380104 -16.5668878  r    20
2290i8313 105.8438380104 -16.5668878  i    20
2260i8313 104.4466367117 -13.89892227 i    20
2260r8313 104.4466367117 -13.89892227 r    20
2260g8313 104.4466367117 -13.89892227 g    20
2230g8313 103.0691062184 -11.22927899 g    20
2230r8313 103.0691062184 -11.22927899 r    20
2230i8313 103.0691062184 -11.22927899 i    20
2200i8313 101.7047487654 -8.55951219  i    20
2200r8313 101.7047487654 -8.55951219  r    20
2200g8313 101.7047487654 -8.55951219  g    20
2170g8313 100.3473810925 -5.8911321   g    20
2170r8313 100.3473810925 -5.8911321   r    20
2170i8313 100.3473810925 -5.8911321   i    20
2140i8313 98.9910304922  -3.22563177  i    20
2140r8313 98.9910304922  -3.22563177  r    20
2140g8313 98.9910304922  -3.22563177  g    20
2110g8313 97.6298391839  -0.56451246  g    20
2110r8313 97.6298391839  -0.56451246  r    20
2110i8313 97.6298391839  -0.56451246  i    20
2080i8313 96.2579744610  2.09069148   i    20
2080r8313 96.2579744610  2.09069148   r    20
2080g8313 96.2579744610  2.09069148   g    20
2050g8313 94.8695419856  4.73838752   g    20
2050r8313 94.8695419856  4.73838752   r    20
2050i8313 94.8695419856  4.73838752   i    20
2020i8313 93.4585000169  7.37689878   i    20
2020r8313 93.4585000169  7.37689878   r    20
2020g8313 93.4585000169  7.37689878   g    20
2020g9313 93.4585000169  7.37689878   g    20
2020r9313 93.4585000169  7.37689878   r    20
2020i9313 93.4585000169  7.37689878   i    20
2050i9313 94.8695419856  4.73838752   i    20
2050r9313 94.8695419856  4.73838752   r    20
2050g9313 94.8695419856  4.73838752   g    20
2080g9313 96.2579744610  2.09069148   g    20
2080r9313 96.2579744610  2.09069148   r    20
2080i9313 96.2579744610  2.09069148   i    20
2110i9313 97.6298391839  -0.56451246  i    20
2110r9313 97.6298391839  -0.56451246  r    20
2110g9313 97.6298391839  -0.56451246  g    20
2140g9313 98.9910304922  -3.22563177  g    20
2140r9313 98.9910304922  -3.22563177  r    20
2140i9313 98.9910304922  -3.22563177  i    20
2170i9313 100.3473810925 -5.8911321   i    20
2170r9313 100.3473810925 -5.8911321   r    20
2170g9313 100.3473810925 -5.8911321   g    20
2200g9313 101.7047487654 -8.55951219  g    20
2200r9313 101.7047487654 -8.55951219  r    20
2200i9313 101.7047487654 -8.55951219  i    20
2230i9313 103.0691062184 -11.22927899 i    20
2230r9313 103.0691062184 -11.22927899 r    20
2230g9313 103.0691062184 -11.22927899 g    20
2260g9313 104.4466367117 -13.89892227 g    20
2260r9313 104.4466367117 -13.89892227 r    20
2260i9313 104.4466367117 -13.89892227 i    20
2290i9313 105.8438380104 -16.5668878  i    20
2290r9313 105.8438380104 -16.5668878  r    20
2290g9313 105.8438380104 -16.5668878  g    20
2320g9313 107.2676381593 -19.23154822 g    20
2320r9313 107.2676381593 -19.23154822 r    20
2320i9313 107.2676381593 -19.23154822 i    20
2321i9313 116.4583940353 -14.47179442 i    20
2321r9313 116.4583940353 -14.47179442 r    20
2321g9313 116.4583940353 -14.47179442 g    20
2291g9313 114.9512792316 -11.8676266  g    20
2291r9313 114.9512792316 -11.8676266  r    20
2291i9313 114.9512792316 -11.8676266  i    20
2261i9313 113.4850499381 -9.2490713   i    20
2261r9313 113.4850499381 -9.2490713   r    20
2261g9313 113.4850499381 -9.2490713   g    20
2231g9313 112.0528079563 -6.61818287  g    20
2231r9313 112.0528079563 -6.61818287  r    20
2231i9313 112.0528079563 -6.61818287  i    20
2201i9313 110.6480488657 -3.97684893  i    20
2201r9313 110.6480488657 -3.97684893  r    20
2201g9313 110.6480488657 -3.97684893  g    20
2171g9313 109.2645692593 -1.32682329  g    20
2171r9313 109.2645692593 -1.32682329  r    20
2171i9313 109.2645692593 -1.32682329  i    20
2141i9313 107.8963781778 1.3302442    i    20
2141r9313 107.8963781778 1.3302442    r    20
2141g9313 107.8963781778 1.3302442    g    20
2111g9313 106.5376108573 3.99278039   g    20
2111r9313 106.5376108573 3.99278039   r    20
