# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2080i8314 96.15790785    2.09069148     i    20
2080r8314 96.15790785    2.09069148     r    20
2080g8314 96.15790785    2.09069148     g    20
2050g8314 94.76919904    4.73838752     g    20
2050r8314 94.76919904    4.73838752     r    20
2050i8314 94.76919904    4.73838752     i    20
2020i8314 93.35766541    7.37689878     i    20
2020r8314 93.35766541    7.37689878     r    20
2020g8314 93.35766541    7.37689878     g    20
2020g9314 93.35766541    7.37689878     g    20
2020r9314 93.35766541    7.37689878     r    20
2020i9314 93.35766541    7.37689878     i    20
2050i9314 94.76919904    4.73838752     i    20
2050r9314 94.76919904    4.73838752     r    20
2050g9314 94.76919904    4.73838752     g    20
2080g9314 96.15790785    2.09069148     g    20
2080r9314 96.15790785    2.09069148     r    20
2080i9314 96.15790785    2.09069148     i    20
2110i9314 97.52983433    -0.56451246    i    20
2110r9314 97.52983433    -0.56451246    r    20
2110g9314 97.52983433    -0.56451246    g    20
2140g9314 98.89087181    -3.22563177    g    20
2140r9314 98.89087181    -3.22563177    r    20
2140i9314 98.89087181    -3.22563177    i    20
2170i9314 100.24685016   -5.8911321     i    20
2170r9314 100.24685016   -5.8911321     r    20
2170g9314 100.24685016   -5.8911321     g    20
2200g9314 101.6036224    -8.55951219    g    20
2200r9314 101.6036224    -8.55951219    r    20
2200i9314 101.6036224    -8.55951219    i    20
2230i9314 102.96715443   -11.22927899   i    20
2230r9314 102.96715443   -11.22927899   r    20
2230g9314 102.96715443   -11.22927899   g    20
2260g9314 104.3436205    -13.89892227   g    20
2260r9314 104.3436205    -13.89892227   r    20
2260i9314 104.3436205    -13.89892227   i    20
2290i9314 105.73950697   -16.5668878    i    20
2290r9314 105.73950697   -16.5668878    r    20
2290g9314 105.73950697   -16.5668878    g    20
2320g9314 107.16172785   -19.23154822   g    20
2320r9314 107.16172785   -19.23154822   r    20
2320i9314 107.16172785   -19.23154822   i    20
2321i9314 116.35511714   -14.47179442   i    20
2321r9314 116.35511714   -14.47179442   r    20
2321g9314 116.35511714   -14.47179442   g    20
2291g9314 114.84909508   -11.8676266    g    20
2291r9314 114.84909508   -11.8676266    r    20
2291i9314 114.84909508   -11.8676266    i    20
2261i9314 113.38373271   -9.2490713     i    20
2261r9314 113.38373271   -9.2490713     r    20
2261g9314 113.38373271   -9.2490713     g    20
2231g9314 111.95213711   -6.61818287    g    20
2231r9314 111.95213711   -6.61818287    r    20
2231i9314 111.95213711   -6.61818287    i    20
2201i9314 110.5478075    -3.97684893    i    20
2201r9314 110.5478075    -3.97684893    r    20
2201g9314 110.5478075    -3.97684893    g    20
2171g9314 109.16454244   -1.32682329    g    20
2171r9314 109.16454244   -1.32682329    r    20
2171i9314 109.16454244   -1.32682329    i    20
2141i9314 107.79635122   1.3302442      i    20
2141r9314 107.79635122   1.3302442      r    20
2141g9314 107.79635122   1.3302442      g    20
2111g9314 106.43736755   3.99278039     g    20
2111r9314 106.43736755   3.99278039     r    20
2111i9314 106.43736755   3.99278039     i    20
2081i9314 105.08176387   6.65926302     i    20
2081r9314 105.08176387   6.65926302     r    20
2081g9314 105.08176387   6.65926302     g    20
2051g9314 103.72366407   9.32819575     g    20
2051r9314 103.72366407   9.32819575     r    20
2051i9314 103.72366407   9.32819575     i    20
2021i9314 102.35705234   11.99808323    i    20
2021r9314 102.35705234   11.99808323    r    20
2021g9314 102.35705234   11.99808323    g    20
2021g0314 102.35705234   11.99808323    g    20
2021r0314 102.35705234   11.99808323    r    20
2021i0314 102.35705234   11.99808323    i    20
2051i0314 103.72366407   9.32819575     i    20
2051r0314 103.72366407   9.32819575     r    20
2051g0314 103.72366407   9.32819575     g    20
2081g0314 105.08176387   6.65926302     g    20
2081r0314 105.08176387   6.65926302     r    20
2081i0314 105.08176387   6.65926302     i    20
2111i0314 106.43736755   3.99278039     i    20
2111r0314 106.43736755   3.99278039     r    20
2111g0314 106.43736755   3.99278039     g    20
2141g0314 107.79635122   1.3302442      g    20
2141r0314 107.79635122   1.3302442      r    20
2141i0314 107.79635122   1.3302442      i    20
2171i0314 109.16454244   -1.32682329    i    20
2171r0314 109.16454244   -1.32682329    r    20
